timestamp_us,ax,ay,az,qw,qx,qy,qz,vx,vy,px,py
1776792.6194205726,2.26,-0.65,8.96,0.0,2.26,-0.65,8.96,0.0,0.0,0.0,0.0
1776792.6197460692,1.61,-1.53,8.27,0.0,1.61,-1.53,8.27,0.0005240494315512447,-0.0004980097082443513,1.7057627745912071e-07,-1.6210043758537581e-07
1776792.6200561589,1.11,-1.27,8.58,0.0,1.11,-1.27,8.58,0.0008682489674538404,-0.0008918235916644298,4.398113149776022e-07,-4.386457225924725e-07
1776792.6204031084,1.11,-0.69,9.2,0.0,1.11,-0.69,9.2,0.0012533629755489524,-0.001131218785885716,8.746650439070412e-07,-8.311215790473718e-07
1776792.6207234263,1.23,0.46,10.0,0.0,1.23,0.46,10.0,0.00164735401980579,-0.000983872541692101,1.4023420605932036e-06,-1.1462735872724926e-06
1776792.621028399,1.46,0.96,10.27,0.0,1.46,0.96,10.27,0.0020926142390817483,-0.0006910986988805212,2.040532385903832e-06,-1.3570398600155512e-06
1776792.6213846817,1.42,0.65,10.04,0.0,1.42,0.65,10.04,0.002598535493016256,-0.00045951502630487144,2.9663452978898142e-06,-1.520757056008443e-06
1776792.6215222918,1.15,0.42,9.5,0.0,1.15,0.42,9.5,0.0027567871403880546,-0.00040171877248212825,3.3457071295592056e-06,-1.5760376277697243e-06
1776792.6216002349,0.92,0.54,9.54,0.0,0.92,0.54,9.54,0.0028284947783686325,-0.0003596295067109183,3.566168737817053e-06,-1.60406826089403e-06
1776792.6217022112,0.73,1.04,9.27,0.0,0.73,1.04,9.27,0.002902937498874974,-0.0002535741240717463,3.862199648606264e-06,-1.629926819313089e-06
1776792.6217026138,0.88,1.57,8.81,0.0,0.88,1.57,8.81,0.002903291755355906,-0.0002529420983046286,3.863368409879414e-06,-1.6300286447422084e-06
1776792.6218764584,1.23,2.18,8.81,0.0,1.23,2.18,8.81,0.0031171206501312693,0.00012603919487446774,4.405263095650978e-06,-1.6081174075565306e-06
1776792.6221927805,1.11,2.41,8.08,0.0,1.11,2.41,8.08,0.003468238161876813,0.0008883754140697464,5.50234341415469e-06,-1.3271046463996972e-06
1776792.6223969497,1.3,2.61,7.74,0.0,1.3,2.61,7.74,0.003733658110722916,0.0014212570036761553,6.264641371660005e-06,-1.0369277531590132e-06
1776792.622610219,1.19,2.84,7.7,0.0,1.19,2.84,7.7,0.003987448669504388,0.0020269420347176492,7.1150420657322465e-06,-6.046430879416588e-07
1776792.622782799,1.23,2.99,7.66,0.0,1.23,2.99,7.66,0.004199721938930465,0.0025429559173062405,7.83982963212021e-06,-1.6578002568719876e-07
1776792.6229502636,1.19,3.14,7.97,0.0,1.19,3.14,7.97,0.004399004818405965,0.0030687947757542075,8.576507234673621e-06,3.4813447803690425e-07
1776792.6231484103,0.73,2.49,7.74,0.0,0.73,2.49,7.74,0.004543651978019634,0.0035621802927926142,9.476817307130564e-06,1.0539690826728483e-06
1776792.623376982,0.61,2.45,7.62,0.0,0.61,2.45,7.62,0.0046830807183869255,0.004122180971316991,1.0547237054020808e-05,1.996183017749494e-06
1776792.623605935,0.65,2.3,7.51,0.0,0.65,2.3,7.51,0.004831900070421404,0.00464877252466977,1.1653514342598452e-05,3.0605327329449494e-06
1776792.6237937198,1.15,2.57,7.47,0.0,1.15,2.57,7.47,0.005047852704301484,0.005131379715166981,1.2601424852974612e-05,4.024128354622443e-06
1776792.623951103,1.15,2.53,7.62,0.0,1.15,2.53,7.62,0.005228843465447437,0.005529559389688071,1.3424357338821878e-05,4.894388496136683e-06
1776792.6241696104,0.88,2.3,7.85,0.0,0.88,2.3,7.85,0.005421129949390898,0.006032126336358481,1.4608914176286623e-05,6.212452546047059e-06
1776792.624388063,1.04,2.26,8.04,0.0,1.04,2.26,8.04,0.005648320708423859,0.006525829331949356,1.5842804819563958e-05,7.638037276090482e-06
1776792.6245963816,0.8,1.95,7.97,0.0,0.8,1.95,7.97,0.005814975481480367,0.006932050341274589,1.7054171593558037e-05,9.082111371642232e-06
1776792.6248145597,0.73,2.03,8.08,0.0,0.73,2.03,8.08,0.005974245527759203,0.007374951976817103,1.8357621404088624e-05,1.0691164717740644e-05
1776792.6250073616,0.61,2.22,8.5,0.0,0.61,2.22,8.5,0.006091854707337924,0.007802972269710149,1.9532142771699748e-05,1.2195592860226096e-05
1776792.6252325855,0.3,2.07,8.66,0.0,0.3,2.07,8.66,0.006159421857446443,0.008269185605458914,2.0919391375778947e-05,1.4058010543823508e-05
1776792.6254615954,0.15,2.18,9.04,0.0,0.15,2.18,9.04,0.006193773341365171,0.008768427171744414,2.2337826744659894e-05,1.6066067110374856e-05
1776792.625702991,0.04,2.26,9.0,0.0,0.04,2.26,9.0,0.006203429163433623,0.009313981118611994,2.3835306950069052e-05,1.8314420721131024e-05
1776792.625767636,0.15,2.8,8.89,0.0,0.15,2.8,8.89,0.006213125942740601,0.009494987665675584,2.4236955690557155e-05,1.892822605390792e-05
1776792.625859658,0.42,3.33,8.62,0.0,0.42,3.33,8.62,0.006251775135751825,0.009801420553121718,2.4812255842662975e-05,1.983017127948359e-05
1776792.6258601083,0.38,3.18,8.31,0.0,0.38,3.18,8.31,0.0062519462476484594,0.009802852489519866,2.4815071059452683e-05,1.983458544969913e-05
